Course	Room	Teacher	Time	Students
1	1	10	1	
2	194	10	5	10
3	194	1	2	9
4	224	17	12	4
5	194	3	3	10
6	224	7	6	2 7
7	224	12	7	4 8
8	1	18	1	
9	1	20	1	
10	224	4	18	6
11	194	3	4	10
12	224	5	4	6 7 9
13	1	4	1	
14	1	20	1	
15	224	8	9	8 9
16	224	7	13	4
17	224	13	5	2 3
18	224	2	16	5
19	224	8	15	5
20	1	16	1	
21	224	13	1	1 3 6 7
22	1	19	1	
23	224	14	2	1 2 3 4
24	194	1	6	
25	1	19	1	
26	224	16	19	7
27	1	9	1	
28	224	17	17	5
29	224	9	10	1
30	1	12	1	
31	1	18	1	
32	224	14	14	5
33	224	6	8	6 8
34	1	15	1	
35	1	15	1	
36	224	2	3	1 3
37	224	6	11	2
38	194	5	1	9
39	1	11	1	
40	224	11	20	8
