Course	Room	Teacher	Time	Students
1	20	252	4	577 748 1167 1807 2004 2276 2353 2408 2443 2678 2818 3324 3595 3686 3913 3919 4180 4849 5207 5384 5858 6182 6315 6331 7017 7113 7213 7254 7604 8252 8398 8668 9472 9481 10203 10568 10579 11433 11640 11854 11941 12003 12037 12510 12953 13097 14193 14233 14286 14873 15018 15506 15590 15971 16035 16111 16284 16439 16527 16652 16758 16824 16918 17025 17940 18315 18445 18541 18553 18898 19576 19577 19678 19778
2	22	162	10	70 77 113 591 1044 1240 2330 2586 3401 3636 3696 4404 4481 4853 5780 6955 7619 7697 7781 7885 8150 8276 9031 9306 9444 9676 9783 10201 10931 11012 11256 11439 11716 13686 14844 16664 17163 17260 17337 18853 19287 19509
3	16	387	68	79 123 290 311 315 425 470 773 819 930 1001 1039 2464 2596 2730 2996 3253 3326 3329 3658 3759 4600 5260 5433 5615 6705 6944 7233 7570 7588 7897 8893 9059 9075 10402 10872 11047 11232 12052 12725 12875 13258 14272 14336 14344 14459 15482 15734 15992 16692 17594 18064 18123 18245 18314 18579 18698 18720 19130 19924
4	20	190	46	6 819 884 1027 1219 1490 1639 2048 2049 2109 2381 3245 3506 3554 3966 4475 5817 5854 5896 6895 7054 7987 8093 9103 9454 9517 10595 10689 10700 10711 11312 11347 11897 11947 12394 12424 12456 13328 13553 13893 13947 14170 14196 14540 15305 15667 15979 16033 16069 16275 16396 16628 16810 16841 16868 17186 17383 17474 17668 17914 18154 18613 18645 19074 19208 19341
5	30	368	38	336 673 992 1010 1032 1202 1276 1307 1622 4070 4110 4238 4340 4470 4864 4917 4969 4979 5097 5224 5237 5490 5749 5958 6527 6898 6963 7074 7165 7599 7706 8692 9766 10094 10109 10308 11538 11575 11850 12062 12772 13276 13489 15101 15498 16223 16306 16370 16628 16782 17456 17797 18164 18448 18703 18981 19106 19289 19970
6	13	209	93	923 932 1177 2125 2412 2720 2840 2986 4021 4262 4348 4389 4952 5072 5848 5957 6616 8019 8166 8551 8851 9056 9516 9611 9972 10260 10450 10899 11106 11467 11623 12713 13221 13710 13910 14346 14374 14435 15081 15096 15124 15478 15812 16221 16242 16662 16708 17004 18168 18203 18726 19215 19443 19619 19627 19686 19816
7	26	12	39	280 610 682 744 1743 2082 2829 3309 3425 3485 3529 3805 4134 4251 4356 4552 4990 5120 5591 6413 6796 7057 7360 7520 8112 8458 9532 9571 9595 10620 10667 10981 11060 11417 11570 11648 11649 11743 11890 12913 13009 14901 15155 15446 15647 16097 16132 16149 16539 17234 17602 18132 18410 18771 19672
8	26	143	93	50 500 863 1276 1403 1813 2266 2345 2493 2584 3281 3356 3458 3841 3949 4272 4347 4828 4863 5149 5189 5418 5947 7126 7195 8405 8565 8638 8897 9872 10436 10568 10853 11274 11455 11616 11902 11954 12107 12615 12960 12992 13269 13338 14323 14355 14420 14502 14503 15408 16675 16881 17682 18233 19161
9	29	144	24	323 341 1108 1246 1383 1629 2099 2755 2865 3619 3873 4050 4093 5347 5616 5907 6081 7670 7790 7918 8685 8704 9406 9708 9835 10248 10622 10652 11708 11931 12588 13170 13927 14069 14409 14719 14838 15371 15555 15598 15845 16432 18490 18525 18543 18859 19067 19080 19726 19911
10	23	446	35	79 1149 1750 1943 2661 2909 3164 3654 3882 3989 4578 4653 4715 4877 5733 6068 6198 6324 7034 7173 7560 7711 7937 8048 8991 9366 9395 10250 10851 10965 11334 11372 11626 11983 13251 13668 14402 14535 14826 14856 15102 16378 16890 16895 17816 18158 18763 18955 19506
11	19	328	3	1389 1626 1916 1934 2098 2349 2755 2788 2805 3049 3653 3709 3905 4881 5123 5203 5431 5605 5676 6966 6998 7285 7563 8390 8784 8787 9522 10205 11164 11182 11186 11390 12189 12591 12870 13411 14153 14157 14230 15432 15727 15773 16470 17472 17882 18095 18366 18741 19146 19491 19510
