Course	Room	Teacher	Time	Students
1	1	61	1	
2	837	3	19	5
3	1	99	1	
4	1	31	1	
5	1	8	1	
6	1	74	1	
7	1	39	1	
8	1	10	1	
9	837	38	12	3
10	3770	96	13	9
11	1	11	1	
12	1	89	1	
13	1	99	1	
14	1	33	1	
15	1	36	1	
16	1	51	1	
17	1	20	1	
18	837	12	20	5
19	837	64	5	1
20	1	42	1	
21	1	31	1	
22	1	28	1	
23	1	58	1	
24	1	29	1	
25	1	65	1	
26	1	85	1	
27	1	29	1	
28	3770	32	15	10
29	1	23	1	
30	1	93	1	
31	1	24	1	
32	1	90	1	
33	1	77	1	
34	1	92	1	
35	1	16	1	
36	1	47	1	
37	1	62	1	
38	837	64	1	1
39	3770	56	10	8
40	1	81	1	
41	1	88	1	
42	1	97	1	
43	1	57	1	
44	1	82	1	
45	3770	43	1	6
46	837	4	4	1
47	1	92	1	
48	1	80	1	
49	1	19	1	
50	3770	1	18	
51	1	83	1	
52	3770	1	20	
53	1	48	1	
54	1	22	1	
55	837	63	14	4
56	1	19	1	
57	1	8	1	
58	1	16	1	
59	1	90	1	
60	1	6	1	
61	1	23	1	
62	1	24	1	
63	1	97	1	
64	1	26	1	
65	837	68	10	3
66	1	50	1	
67	1	100	1	
68	1	57	1	
69	1	53	1	
70	1	58	1	
71	1	73	1	
72	1	6	1	
73	1	48	1	
74	1	25	1	
75	1	100	1	
76	837	46	9	2
77	1	53	1	
78	1	36	1	
79	1	83	1	
80	3770	30	8	8
81	1	34	1	
82	1	66	1	
83	837	41	15	4
84	1	77	1	
85	1	33	1	
86	1	96	1	
87	1	51	1	
88	1	30	1	
89	1	52	1	
90	1	76	1	
91	837	80	7	2
92	1	7	1	
93	1	75	1	
94	1	46	1	
95	3770	63	6	7
96	1	28	1	
97	1	66	1	
98	837	95	16	4
99	1	42	1	
100	1	61	1	
101	1	11	1	
102	1	34	1	
103	3770	81	12	9
104	1	35	1	
105	1	43	1	
106	1	73	1	
107	1	13	1	
108	1	49	1	
109	837	13	8	2
110	1	85	1	
111	1	35	1	
112	837	15	2	2 8
113	1	71	1	
114	1	20	1	
115	1	18	1	
116	1	68	1	
117	1	37	1	
118	1	59	1	
119	1	65	1	
120	3770	88	5	7
121	1	15	1	
122	1	56	1	
123	837	25	6	1
124	1	54	1	
125	1	62	1	
126	1	40	1	
127	1	78	1	
128	1	39	1	
129	1	86	1	
130	1	50	1	
131	1	69	1	
132	1	14	1	
133	1	74	1	
134	3770	49	11	9
135	1	52	1	
136	1	59	1	
137	1	75	1	
138	1	93	1	
139	1	12	1	
140	1	95	1	
141	837	89	13	4
142	3770	54	7	7
143	1	22	1	
144	1	37	1	
145	3770	2	19	
146	1	26	1	
147	1	9	1	
148	1	38	1	
149	1	45	1	
150	1	87	1	
151	1	78	1	
152	1	9	1	
153	3770	67	9	8
154	1	98	1	
155	3770	98	17	10
156	1	10	1	
157	837	40	17	5
158	1	45	1	
159	1	17	1	
160	1	87	1	
161	837	27	18	5
162	1	71	1	
163	1	70	1	
164	1	76	1	
165	1	70	1	
166	1	60	1	
167	1	82	1	
168	1	14	1	
169	1	91	1	
170	1	44	1	
171	3770	27	2	6
172	1	7	1	
173	3770	79	16	10
174	1	94	1	
175	1	5	1	
176	837	55	3	3 9
177	1	60	1	
178	1	41	1	
179	1	94	1	
180	1	5	1	
181	3770	47	4	7
182	1	44	1	
183	1	72	1	
184	1	91	1	
185	1	3	1	
186	1	79	1	
187	5348	2	1	
188	3770	84	14	10
189	1	18	1	
190	837	67	11	3
191	1	69	1	
192	1	32	1	
193	1	72	1	
194	1	84	1	
195	1	86	1	
196	3770	17	3	6
197	1	21	1	
198	1	21	1	
199	1	55	1	
200	1	4	1	
