Course	Room	Teacher	Time	Students
1	17	906	50	1411 1608 2042 2103 2316 2434 2601 4766 4920 4936 6594 6758 6812 7090 7157 7270 7404 7435 7655 7688 8227 8440 8547 8808 9744 9805 10036 10160 10276 12117 12348 14252 14326 14585 15022 15180 15214 15410 15967 17344 17905 18512 19156 19776
2	22	84	45	535 888 2482 2656 3717 4491 4830 5044 5069 5596 6788 6927 7023 7182 7516 7671 7900 8487 9518 9775 9777 9929 10151 10366 10678 10817 11903 12326 12358 12380 12565 13859 13927 14566 14628 14881 15748 16354 16455 16933 17506 17635 19008
3	6	788	28	443 1052 2393 2859 3343 3660 3812 4113 4155 4209 4648 5020 5544 6150 6206 6860 7360 7804 8132 9009 9016 9040 9292 10059 10064 10619 11121 11443 12713 13425 13536 13597 14274 15532 16195 16206 16402 16489 16807 17360 17589 17793 18799 19778
4	21	170	77	53 1356 2048 2862 3087 3663 3754 4308 4489 5101 5226 5932 6219 6741 7206 7315 7585 7871 8168 8241 8246 8628 9052 9456 9564 10207 10712 10769 11529 11716 12244 12434 12484 12520 13080 13409 13635 14815 15369 15397 16799 16834 17770 17877 19676
5	23	402	52	800 1125 1576 2428 3384 3763 4146 4235 4277 5020 5102 5218 5463 5606 5913 6466 6981 7154 7995 8050 8242 9057 9309 10038 10388 10556 11035 11410 13574 13717 13918 14207 15028 15188 16408 17122 18909 18910 19555
6	20	811	60	221 676 1334 1557 2034 2674 2802 3342 3580 4232 4683 5329 5532 5561 6290 7338 7812 7918 8090 8094 8122 8356 8748 9500 10153 10308 10582 10651 11298 11566 11586 13011 13463 15352 15766 16731 16930 17137 17241 19489
7	30	858	35	905 1049 1126 1561 4173 5301 5715 6285 6901 7134 7218 7273 8028 8175 10101 10159 10229 10617 11419 11462 11721 13660 15471 15662 16147 16290 17021 17156 17239 17298 17462 17799 18052 18361 18606 19214 19844 19865 19937
8	3	967	50	347 814 2018 2770 2824 3228 3530 3692 3819 4837 5120 7739 7787 10131 10259 12036 12259 12499 12511 12605 13246 13858 14572 15980 15988 16379 16720 17646 18172 18353 19027 19431
9	23	602	71	1538 1550 1576 1735 2694 3001 3521 3885 4551 5221 6075 6128 6198 7323 8621 9044 9850 9948 9974 11153 12388 12424 12528 12753 13098 15005 15787 15875 16030 16319 16386 16520 16972 17182 17264 17529 17565 17741 18849 19297
10	15	382	21	16 633 1575 2049 2369 3733 4159 5154 5376 5396 7249 7453 9379 10568 10771 11182 11315 11484 11677 11709 12432 13132 14387 14588 14774 17143 17178 17194 17383 18626 18643 18695 18868 19769
11	19	104	61	523 760 832 1634 2540 2632 3450 3737 3827 4524 4704 5660 6143 6154 6695 6752 6781 7176 8582 9160 9392 9514 9554 10112 10744 11849 12882 13736 14889 14996 16311 16949 17142 17463 17562 18276 18424 19310
