Course	Room	Teacher	Time	Students
1	6	156	52	6 2115 2285 3646 3825 4035 4157 4282 4664 5331 5996 6785 7409 8146 8234 8550 9236 9654 9752
2	7	891	96	883 1365 2427 2847 4889 5631 5853 6350 6690 6944 7835 8367 8566 9064 9168
3	37	914	96	102 1945 2944 3120 3174 3656 3715 4816 5163 5931 5955 6888 7759 7866 9134 9342 9758
4	37	101	99	109 389 688 1026 1560 2306 3959 5755 6321 6336 6341 6470 6689 6797 7804 8945 9776
5	39	44	96	1077 1081 1923 2058 2368 2507 3290 3758 4060 4237 4590 4750 5995 6519 6537 6850 8000 8043 8205 8568 8945
6	40	945	81	340 422 435 564 603 862 911 2236 3722 4463 5236 5322 6332 7280 7599 7826 8852 9245 9529 9687 9915
7	31	240	42	586 1038 1498 2797 2886 3549 4445 5066 5743 5803 5871 5989 6189 6224 6976 7756 7851 8003 8220 8634 8859 9563
8	24	897	39	227 629 845 1108 1754 2308 2528 3473 3975 4513 5672 5937 6060 6100 6148 6470 6661 6667 7142 7562 7732 7769 7807 8046 8124 8956 9101
9	13	895	75	178 565 646 1660 1844 2650 2673 2728 2825 2952 3608 3626 3807 4265 4513 5356 5359 5497 8254 8624 8801 9067 9802 9997
10	34	253	1	66 74 520 548 1408 2505 2887 2904 3095 4082 4124 8102 8141 9218
11	29	895	24	122 280 990 1128 1432 1512 2672 3487 4149 4493 5955 6764
12	19	647	5	345 822 1102 1234 1490 2049 2428 2737 2820 2922 3119 3302 3565 3893 4125 5675 6373 7037 7068 7498 8422 9634 9647
13	24	442	15	47 1369 1580 1595 1687 1729 1837 1936 2474 2984 3703 3979 4209 4347 4585 5868 6126 6127 6403 6614 6834 7992 8258 9052 9405 9664 9755
14	39	119	21	220 223 584 743 753 1021 2827 3642 3928 4685 5246 5724 6652 6792 6902 7062 7116 7198 8613 9307 9417 9696
15	19	604	76	83 561 1106 1859 2018 2191 2585 3435 3529 3560 3647 5089 5382 6438 6729 7510 7678 8200 8236 8567 8900 9030 9660
16	2	92	83	795 1090 1334 2150 2544 2861 2889 3437 3730 4280 5194 6040 6153 6960 7406 8147 8177 9294 9604
17	36	33	77	160 239 756 1175 1196 1553 2355 3116 4486 4659 4667 4783 5452 5502 6485 6503 6903 7029 7061 7840 7855 8552 9117 9354 9570
18	31	575	53	855 967 976 1561 1949 2138 2168 2454 3605 4023 4378 4471 5198 5699 6617 7445 7601 7640 7681 7989 8029 8946 9238
19	37	850	5	440 1055 1106 1477 2011 2699 3055 3369 3643 3813 4305 6876 6911 8585 9420 9819 9887
20	8	392	66	489 985 1086 1466 2195 2861 3034 3645 3648 3852 4063 4182 4618 4700 4916 5120 5621 5840 6069 6740 7141 7149 7198 7684 7953 8307 9391 9554
21	27	962	21	22 50 339 1432 1603 4036 4229 5627 5954 6025 6238 6612 7291 7736 8028 8309 8371 9294
22	39	317	56	433 926 1364 1501 1638 1835 2385 2620 3915 3961 4044 5121 5123 5440 5849 6861 7451 7488 7559 9085 9335
