Course	Room	Teacher	Time	Students
1	3	684	29	512 730 1265 1380 1687 2016 2209 2559 3485 3715 3720 4672 5232 5543 6263 6767
2	16	508	55	961 1204 1948 2391 2638 2719 2925 3133 3866 4264 4284 4315 4638 5438 5868 5883 6134 6829
3	28	580	43	1284 2133 2236 2828 3570 3821 3980 4186 4225 4688 5523 5535 6118
4	12	7	69	947 1401 1409 2472 3721 3777 4218 4518 4619 4803 4820 5374 5510 6147
5	16	493	32	413 1658 2026 2195 2293 2354 3023 3071 3255 3662 5452 5657 5696 5749 5854 5967 6215 6221 6440
6	12	997	98	110 228 346 1229 1747 2165 3704 3898 4250 4853 4976 5737 5941 6392 6572
7	28	859	79	58 1371 1614 2011 2118 2140 3215 3286 4692 4843 6539 6559
8	19	91	17	468 522 1197 1772 3202 4351 4591 4881 4975 5967
9	22	197	91	184 402 1369 1502 1521 1863 2051 3522 3658 4074 6098 6570 6604 6941
10	11	877	2	62 77 175 629 1070 1212 1538 1643 2669 3659 3775 4553 5791 5865 6068 6692
11	26	460	66	21 535 852 1080 1492 1857 3061 3668 4089 4791 6297
12	31	87	46	380 1921 3260 3400 3977 4051 4071 4150 4233 4334 4951 6693 6737
13	15	165	67	1024 2227 2324 2761 2957 3019 3071 3200 3236 3559 4091 4278 4658 4822 4850 5272 5326 5413 5747 6263 6590 6602
14	31	264	2	204 227 687 794 839 2605 2632 2637 3915 4059 6428 6443 6533 6905
15	24	642	22	273 417 599 1223 2012 2513 3363 3690 4819 5041 6651
16	16	663	54	949 1179 1366 1473 2381 3598 4607 4665 5198 5434 5517 5606 5681 5729 6238 6464 6519 6577 6782
17	12	174	96	108 695 835 1556 1712 2045 2213 2298 2794 2895 4799 5164 6170 6456 6993
18	28	992	68	21 303 1614 1794 3307 3921 4016 4582 4690 5534 5752 5770
19	31	442	12	233 1393 1522 1793 3225 4183 4565 4635 5845 6135 6200 6586 6803 6812
20	35	518	96	510 527 911 924 1760 2619 3512 4297 4548 5079 6337 6397 6703
21	24	107	5	216 983 1418 1760 2789 3029 3259 3511 3920 4309 6910
22	29	676	48	2362 3303 3329 5030 5444 6310 6658 6850
23	3	825	3	279 786 952 1030 1909 1951 2348 2515 4427 4508 4767 5048 5485 6082 6083 6178 6332 6383
24	15	104	43	52 88 430 1201 1277 2159 2438 2707 2867 2987 3189 3335 3459 3772 4509 4786 5562 5765 5801 6245 6574 6834
25	16	632	17	282 364 618 761 946 1052 1111 1510 2398 3236 3451 3753 4243 4910 5164 5189 5726 6522
26	3	341	49	1044 1169 1948 2079 2103 2287 2390 2815 3136 4058 5098 5104 5546 5564 5962 6235 6302 6787
27	3	701	37	603 628 957 1515 1705 2765 3405 3503 3672 4222 5128 5220 5405 5825 6054 6413 6422 6468
28	26	259	53	1535 1836 2174 2666 2756 2841 3301 3620 3685 4174 4713 5581
29	28	416	74	46 1162 2841 3397 3591 3794 3909 4500 4857 5398 5442 6797
30	3	765	33	567 1767 2826 2838 3453 3518 3792 4218 4432 4502 4705 4773 4831 5087 5507 5936 6069 6935
31	24	927	38	369 388 937 1844 2005 2855 3853 4223 4864 5330 6345
32	6	591	39	215 228 909 938 1085 1139 1140 1369 1438 1646 2106 2168 2418 2424 3294 3331 3359 4274 5732 6791
33	3	640	53	1319 1622 1887 2499 3737 4099 4313 4397 4762 6003 6043 6154 6243 6306 6363 6592 6651 6685
34	15	546	94	521 1411 1517 1684 1704 1891 1959 2143 2255 2346 2386 2673 3516 3653 4271 4426 4955 5708 5932 6130 6970
35	3	996	63	16 234 306 614 702 1781 2534 3625 3822 4797 4828 5306 5588 5771 6099 6627 6845
36	12	171	74	33 85 461 926 1022 1972 2237 2843 3650 3870 4160 4548 5491 6796 6954
37	4	364	69	358 644 799 873 1688 2066 2575 3937 4008 6328 6642 6655
38	21	315	35	400 2686 2833 3294 4073 5399 5934 6276
39	13	335	28	371 1831 2181 2196 2259 2592 3349 3371 3396 4338 5205 5255 5321 5331 5355 5623 6055
40	37	869	6	148 445 613 778 1496 2208 2362 2479 2483 4817 4875 5289 5549 6271 6457
41	25	400	81	216 2944 4031 5115 5410 5441 5505 6803 6952 6973
42	29	613	32	789 2228 2232 3589 4020 5946 5987
43	3	903	31	530 1020 1416 1449 1714 1958 2220 3238 3338 3771 3780 4320 4529 4575 5205 5489 5732 6996
44	13	764	23	332 792 843 2090 2157 2173 2324 3137 3476 3478 3791 4003 4069 4355 4652 5937
45	35	357	33	230 335 799 884 989 1357 1963 3735 4436 4805 5289 5590 6520
46	31	216	15	239 394 621 2940 3130 3490 3549 4092 4660 5085 5186 5634 5738 6460
47	25	868	79	199 411 1156 1307 2452 2840 3463 4329 5336 6187
48	35	329	2	141 503 1130 1345 1892 2136 4631 4870 5694 5723 6402 6498
49	3	379	10	343 559 595 894 1130 1265 2678 2906 3030 3591 3605 3678 3909 4215 4786 5030 5309 5321
50	11	531	17	113 172 288 511 846 1076 1237 1288 1833 2037 3134 3276 4441 4610 4987 5724
51	6	3	47	327 380 463 735 746 1108 2652 2785 3081 3258 3326 3645 4151 4885 4889 5353 6182 6535 6763
52	25	519	11	1125 1138 1602 4974 5106 5193 5207 5420 6301 6596 6983
53	35	502	52	301 1124 1572 2365 2527 3114 3164 3646 5099 6050 6578 6692
54	12	379	93	106 577 905 1670 2024 3231 3322 3415 4314 4438 4827 4996 5908 5917 6149
55	26	150	58	1894 2097 2372 2649 2722 3486 3604 3806 4289 5023 6049 6510
56	28	134	98	126 475 1365 1691 1834 2520 2791 3099 4595 4961 5815 5894
57	19	740	60	865 1162 1483 2400 3348 4714 5099 5996 6182
