Course	Room	Teacher	Time	Students
1	5	10	63	55 140 600 786 813 1061 2023 2066 2580 3941 4333 5387
2	30	531	3	1012 2044 2322 2540 2878 2951 3603 3655 4894 4906 5301 5477
3	23	666	66	1650 2664 2778 3551 3663 5351 5579 5814 5938
4	31	735	25	556 853 1182 2297 4027 4125 4997 5188 5444 5939
5	17	340	60	3634 3665 4594 5169 5335 5875
6	35	329	6	44 1211 1252 2180 3462 4653 4808 5327 5341 5695 5944 5946
7	8	950	9	129 382 1092 2371 3019 3143 3889 4204 5043 5328 5607
8	31	1000	53	790 1078 1755 1956 2165 2613 3181 3547 3817 5374
9	3	964	65	286 1137 1834 3834 4107 4150 4730 4866 5936
10	40	468	61	232 763 1247 2143 2171 4124 4274 4390 5467 5914
11	32	196	85	554 1331 1663 1965 2065 2163 2733 2887 3253 3702 4639 4822
12	30	676	55	34 48 159 789 956 1479 1952 3407 3481 4218 4896
13	29	951	41	224 1027 1464 1733 2164 2383 4310
14	35	856	99	464 488 1276 2051 2310 2440 3023 4143 4159 4753 5484 5625 5681 5763
15	3	2	74	349 1021 1433 3537 3888 4106 4531 5545 5689
16	34	138	29	241 406 520 1196 2320 2559 2607 3121 3390 3958 3972 4103 5016
17	4	543	12	487 699 1095 1597 1686 2260 2411 2712 3293 3411 3762 3979 3996 4476 4518 4547 5953
18	3	958	52	222 1462 2765 2805 3548 3644 4438 5313 5330
19	23	687	36	918 1787 1873 2686 3487 3793 3939 5444 5528
20	28	403	15	2484 2767 2779 3799 4560 5069 5095 5269 5326 5405
21	25	344	8	503 542 2162 2315 2427 3876 3936 4056 4455 4459 4470 4594 5027 5093 5192 5595
22	30	100	24	1070 1362 1909 2077 2176 2391 2720 2768 2922 3113 4547 5645 5919
23	28	214	13	649 751 1273 2037 3149 3731 3886 4438 5463 5691
24	19	176	14	221 484 1918 2512 2871 3519 3884
25	19	711	5	177 437 650 775 1418 1436 4636 4684
26	30	29	56	36 119 267 528 565 799 986 1731 1787 2881 5310 5349
27	16	774	68	2021 2426 2852 3203 3534 4471 4623 4905 5568 5714 5726 5942
28	19	815	69	832 852 916 939 2892 3682 4516 5093
29	20	543	14	135 233 356 433 655 781 817 840 1151 1447 1816 2065 2237 3364 3517 4063 4200 4327 4962 5396
