Course	Room	Teacher	Time	Students
1	9	837	95	158 706 982 1021 1198 2080 3285 3764 5168 5398 5515 5537 5833 6432 7149 7442 7558 9305 9826 9983 11308 11638 11884 11924 12305 12309 12929 13304 13701 13850 14872 15949 16110 16824 17259 17808 18581 19539
2	7	383	9	32 1456 1738 2333 3237 4021 4037 4128 4379 4831 5042 5801 6063 7000 9934 10199 10851 11123 12680 13157 13850 13975 14402 15199 16549 17891 18093 18444 19499
3	34	548	21	151 291 893 2363 3312 4278 4307 4486 4753 5017 5350 6023 6376 6508 6675 6715 6942 7009 7560 7882 8190 8560 8765 8914 9314 9395 9671 9999 10885 11083 11352 11355 11731 12489 12537 12915 13335 14373 14635 15153 15247 15309 15424 16008 16772 16916 16997 17089 18546 19387 19748 19902
4	22	107	46	818 1017 2223 2361 2615 3317 3333 3905 4381 4476 4772 5037 5669 5688 7577 7635 7720 10279 11557 11984 12278 12387 13778 14086 14759 15164 16420 16606 18564 18641 19394
5	38	658	57	184 886 2014 3570 4035 4314 4630 5555 5834 6271 6584 7844 8185 8822 8855 8955 9135 9234 9477 9796 10382 10564 10719 10843 11489 12086 12241 12591 12675 14555 14718 15575 16001 16033 16736 17432 18628 19233 19813
6	34	715	48	1013 1675 2325 2348 2487 3006 3279 4444 4978 5187 5675 5705 6102 6478 6500 7782 8075 8375 9353 9369 9491 9815 9821 10295 10513 11103 11126 11361 11415 12300 12320 12645 12672 12940 14471 14960 14969 15135 15373 15403 15546 16429 16462 16544 16831 17445 17462 18094 18574 18953 19401 19591 19873
7	39	973	43	368 1195 1800 2171 3165 3497 3977 4978 5193 6492 9351 10196 11112 11131 11447 11965 12621 14394 14781 15263 15619 15695 16025 16214 16349 16411 17652 17969 18222 18299 18579 19022 19075 19126 19426 19734
8	4	978	63	11 115 221 1249 1909 1938 1952 2066 2099 2702 3197 3436 4214 5709 6047 6363 6688 6765 7093 7343 8650 9611 9662 9699 9732 11093 11664 11769 11973 12940 13479 13833 14566 14861 15237 15419 15605 16022 16028 16406 16595 16655 17486 17724 18326 18548 18875
9	5	792	4	15 47 66 930 1740 2935 3284 3679 3811 3904 3951 4483 4531 5029 5290 5437 6239 6444 6723 7720 7942 8226 9327 10040 10213 10810 10851 10980 11236 11376 11997 13575 13585 14097 14384 15838 16332 16594 18329 18863 18871 19017 19044 19615
10	22	472	38	660 1417 2093 2134 2266 2628 3409 3734 3741 5936 5970 7598 8858 9614 9817 11034 11143 11641 11662 12005 12270 12434 15241 15830 16131 16206 16420 16592 16957 17979 19324
