Course	Room	Teacher	Time	Students
001837	PK349	3452118	12:10 - 16:00 MW	3539996 3576379
002161	PK20	3926209	9:10 - 12:30 T	3539996 3576379 3799593 3822778 3823307 3854723 3858042 3869959 3890005 3902911 3906818 3929235 3964186 3989696 4093315 4095083 4170299 3789493 3845742 3911054 3913863 4000366 4041708 3931666 4015108 4278502 3902905 3928589 4002094 3915040 4086277 4174206 3816108 3823391 3899772 3902196 3907037 3913671 4003188 4014851 3910587
006847	PK20	0031347	10:10 - 13:00 F	3539996 3576379 3560236 3695145 3712888 3817487 3861195 3883991 3914344 3921208 3929222 3929812 3930302 3964186 4095301 3819393 3910738 3911054 3796247 3833378 3902905 3817969 4002075 4086222 3789529 3885128 4174206 3816104 4086241 3844962 4086415 3823094 3995730 4086377 4096177 3914552 3910704 4086364
007007	PK25	0028980	18:10 - 19:00 TH	4096749 3951018 4031284 4096251 4164342 4176818 4181049 4280500 4280591 4282099 3818746 4181152 4088956 4152983 4175407 3820858 3905623 4276714 4181991 4278734 4372390 4007305 4038907 4180395 4277162 4278454 4279260
010725	PK278	3092941	12:10 - 14:00 T	4096749 3759552 3957394 3676165 3817969 3816181 3227350 3910496 3789283 3797084 3815902 3999899 4023528 3609407
003007	PK278	3473854	19:10 - 21:00 T	3464954 3908117 4043543 4093015 4280658 4282099 4175389 4280913 3796906 3851913 4372023 4279920 3817637 4165503 4175347 4175489 4092819 4175327 4175309 4468375 3910610 3821034
010944	PK243	3083296	12:10 - 14:00 F	3464954 3630501 3730202 3759552 3771823 3908117 3913138 3616206 3975519 3797084 3793534
007396	PK25	0162977	14:10 - 16:00 T	3483059 3692316 3693185 3722992 3767997 3796148 3796723 3930547 4092928 3863747 4087169 4096261 3816970 3902905 3910343 4037708 3691616 3931959 3409210 3816104 3846234 3821088 3910720 3728679 3821766 3789136 4372030 3903986
007398	PK338	0851717	9:10 - 12:30 T	3483059 3610681 3717137 3722992 3759127 3904965 4094813 3818746 3630474 3797168 3816970 3931323 3930469 3929704 4086371
004889	PK180	0321808	13:10 - 16:00 T	3486653 3717144 3790825 3816180 3819585 3820900 3609410 3816860 3820380 3821886 3910713 3821180 3910609 3579361 3910630 3820958 3910686
001899	PK243	3899727	14:40 - 16:00 MW	3521001 3611135 3712888 3764208 3768625 3816722 3820732 3796247 3819332 3788897 3930864
013193	PK278	0898918	13:10 - 14:30 MW	3521001 3710991 3712888 3764208 3858042 3861195 3914344 3708949 3818762 3819393 3863747 3918056 3796247 3821069 3833378 3715444 3914502 3821166 3913671 3843290
003275	PK338	0695890	13:10 - 14:00 T	3561430 3796964 3819628 3851838 3814296 3855583 3910515 3910650 4002204 3820970 3901254 3930891 4175287 4073784 4175463
001249	PK278	0254151	13:10 - 14:00 TH	3581265 3611048 3630526 3651465 3704166 3820397 3931971 3910738 3817177 3797839 3714653 3771747 3821059 3774808 3929165 3699567 3797164 3668365 3690845 3694668 3764422 3931064 3580586
004306	CARP21	3646542	19:10 - 21:00 T	3583596 3675467 3816993 3579645 3684090 3821269 3910595 3910605
007407	PK20	0031631	16:10 - 17:30 MW	3592680 3651750 3667385 3693185 3724014 3767997 3796007 3796723 3796964 3819645 3931688 3789573 3816992 3817260 3818746 3820479 3630474 3816970 3774943 3768356 3774116 3931323 3689328 3691616 3817682 3931959 3722764 3712913 3711406 3797192 3816336 3910712 3467384 3789136
016952	PK25	4177943	9:55 - 12:45 TH	3820587 3823262 3829442 4001881 4003131 3823473 4093282 4170444 4275968 4175344 4175360 3668130 3797206 3973360 4262071 4129521 3687862 3773692 3818675 3816708 3928966 3988502 3910648 3708638 4175546 3610382 3910493
001766	PK243	4360396	12:10 - 16:00 MW	3615055 3781152 3991180 3901484 4002075 4096266 4175338 3997576 4175395 4278720 3652959
002653	TH110	1167978	14:10 - 16:00 F	3615055 3969214 3879197 4138433 3920306 4372390 4040430 4148348
015113	PK25	0820103	13:10 - 16:00 TH	3630501 3652353 3693501 3730202 3796148 3814239 3832060 3834985 4096251 3817260 3819367 4086413 3668130 3910532 3821088 3722926 3759872 3821571 3910673 3910661 3910670 3910604 4086351
005295	TH110	4392595	14:40 - 16:00 MW	3630526 3651486 3575266 3902759 3847931 3910321 3910526 3790492 3843290
017117	TH110	0826176	13:10 - 15:30 TH	3651486 3667654 3690799 3903909 3976786 3823755 3902404 3576990 3815902
007375	PK20	0820103	10:10 - 11:30 MW	3611135 3652353 3819645 3823092 4091895 4095133 4175373 4280591 4280864 3818807 3929894 3630474 3788919 3818480 3930763 4165491 3901790 3904411 4280913 3818676 4075429 3785953 4050929 3846234 4095472 3910680 4092144 4181151 4096186 4164263 4175355 4175472 4277782 3910712 3929704 3817379 3666995 3821034
013627	PK278	3459335	19:10 - 21:00 MW	3652353 3693712 3695145 3725997 3790244 3799593 3818024 3820732 3823307 3906818 3929849 3930302 3808480 3818807 3845742 3930544 3694712 4096913 3785953 3915040 3680751 3930817 3907037 3995730
016878	TH224	3443571	10:10 - 13:00 F	3667654 4095053 3913185
016984	PK278	1024995	9:55 - 12:45 TH	3667654 3724014 3762625 3991180 4005905 4026411 4092767 3585962 4115871 3711797 3805981 4092173 3759337 4090730 3901004 3930891 4175404
016609	PK20	4273392	14:10 - 16:00 F	3677885 3705083 3717137 3796007 3852791 4279708 3818746 3930831 3797168 3910570 4095224 3910594 3689328 3910592 3910642 3910672 3651348 3819613 3910507 3910576 4086309 3797192 3910470 3984532 3910674 3910722 3905868 4175546 4086398 4086496 3923473 4175465 3910506
006043	PK20	0207327	12:10 - 16:00 MW	3690799 3817507 3820963 3833424 3861339 3887957 3903994 3909951 3914754 3929679 4092290 4095001 4095047 3788990 3930296 4093607 3816486 3910487 3929468 3716140 3691783 3769368 3930303 4093293 3817637 3910641 3910695 3930683 4086223 3820971 3917445 3910629 3222918 4087228 3910654
006026	PK20	0972342	13:10 - 14:00 T	3652353 3691794 3695145 3725997 3790792 3823307 3906818 3930162 3930302 4000367 4000795 4003131 4095243 4150774 4175373 4176818 4278521 4279649 4280475 3929419 4086413 4181152 4000229 3930544 3931962 4165491 4276333 4372017 3768620 3930731 3930168 4095004 4152983 4169561 4096913 4170423 4175540 4269602 4371979 3785953 3821097 3915040 3920668 4000862 4148521 4170322 4175454 4176082 4371999 3905871 3914822 4086335 4175436 4175485 4175513 4281409 3969851 4086317 4126536 4174660 4371972 4372070 4372212 3722926 3768588 4086320 4096964 4097054 4175369 4372068 3818227 3843290 3913807 4279855 4086476
007368	PK20	4354081	14:10 - 16:00 TH	3691794 3941346 3950836 4000812 4093409 4180325 4193293 4236548 4278485 4280365 4280465 4280648 3819393 3910427 3942061 4093370 4093748 4275968 3819332 3821069 3875914 4140702 4162177 4277527 4279995 3884178 4138433 4003045 4169561 4055257 4133513 3931449 3905623 3891249 4181036 4280526 3901577 3995719 3843290 4003319 3711764 4073784
011295	PK278	4170297	13:10 - 15:30 TH	3910185 3915099 4095301 3808480 4086279 4175480 3817969 3913164 3822218 4086216 4086249 4093475 3699567 3988502 3823402 3910647 4002909 3910481
003460	PK180	3393009	13:10 - 16:00 TH	3464954 3692164 3887957 4174840 4229863 4278350 3941070 4174392 4175299 3914745 3929468 4175481 4175485 3871577 3901004 3910499
003485	TH110	0024092	14:10 - 16:00 T	3692164 4096175 3931158 3871577 4093471 3934960 4175381 3581315
010965	PK180	0897706	13:10 - 14:30 MW	3692164 3759552 3820992 3829442 3913159 3929222 3788919 3823151 3805981 3819309 3930303 3819304 4096358 3843810 3901004 4086376
013286	PK243	3318436	13:10 - 16:00 T	3797324 3818770 3960504 4000367 4003485 3902404 3914745 4079295 4073784
001164	PK278	4092864	11:40 - 13:00 MW	3651465 3692316 3851827 3906818 3932089 4012510 3845742 4086279 3817177 3771747 3774808 4003045 3716140 4096913 3931449 3821088 4000336 4002806 4007305 4372039
017116	PK243	0851717	13:40 - 16:30 T	3692316 3915155 3987067 4091895 4094813 4096261 4037708 4095224 4092251 4043549
004016	PK180	3460456	14:10 - 16:00 TH	3692536 4092675 4095897 4125799 4174768 4097018 4001662 4001717 4256760 3458065 4280706 3965315 4175962
