Course	Room	Teacher	Time	Students
001473	TAYE	3098022	12:00 - 14:00 TH	145931 1025845 1056281 1077815 1083627
004725	PK243	0493856	16:00 - 18:00 TH	369592 991213 1001894 1036442 1094520 1100338
001836	PK338	0898918	13:00 - 15:30 TH	393089 753686 787159 802127 865750 1067377 1080303 1080808 1088120 1104216 1133174 1143290 1150965 1162688 1163278 1167996 3070881 3085083 3087449 3087465 3088124 3088521 3089636 3090430 3091573 3092072 3092599 3093818 3094809 3094908 3095105 3095111 3097133 3098330 3099669 3099911 3100786 3100835 3102380 3102915 3103177 3103445 3103486 3104541 3104653 3105958 3106561 3106835 3107966 3126626 3129759 3132705 3142819 3153098 3161291 3166052 3168511 3180674 3180861 3185451 3193198 3198263 3198863 3202006 3212408 3216292 3216810 3217421 3218454 3218659 3219051 3219056 3225302 3226257
002160	PK25	0004950	14:00 - 16:00 T	393089 802127 1040045 1064752 1159063 1162008 1163326 1163860 1167996 1170071 3073357 3076456 3082682 3083787 3086400 3092072 3093221 3094809 3094908 3095105 3095111 3097133 3097158 3098799 3099448 3099911 3099986 3102380 3102599 3102915 3104541 3106561 3112067 3114802 3191520 3201354
006846	PK25	0824244	10:00 - 11:00 MWF	393089 753686 787159 802127 865750 1029737 1066309 1082907 1133174 1143639 1161482 3070344 3070438 3083787 3086400 3090430 3093221 3096547 3097120 3099822 3100110 3106835 3112067 3189516 3212471 3212915
003026	TH110	0222805	10:00 - 11:00 MWF	480377 1008967 1056963 1067724 1077294 1078819 1079363 1081249 1094929 1104669 1160658 1170703 3072477 3073004 3073169 3074570 3077064 3077336 3079376 3104731 3107980
006029	PK338	0409737	16:00 - 18:00 TH	480377 1008967 1017832 1065796 1082842 1088214 1090564 1094134 1101406 1116854 1160158 1163391 1167714 1171905 3070344 3070438 3071136 3074792 3079862 3087352 3087444 3087449 3089081 3092431 3092999 3094719 3094992 3095105 3095335 3095719 3095842 3096011 3096547 3096962 3097133 3097636 3098330 3098799 3099165 3099911 3099986 3100110 3102316 3102380 3102599 3104541 3105170 3105854 3106561 3153272 3153273 3212915
008803	TAYE	0576472	13:00 - 15:30 T	480377 1076274 1078508 1131602 1146215 1160158 3071734 3085504 3089636 3198776
011331	GOB	3325447	11:00 - 12:00 MWF	480377 1000355 1021751 1065654 1081917
007010	DAL204	0162976	9:00 - 10:00 MWF	501319 1000750 1026650 1056600 1066431 1077161 1078390 1101031 1112377 1163417 1169257 1170709 3073568 3074965 3075371 3075745 3076896 3085504 3088124 3088652 3093190 3094722 3099420 3107658
009262	TAYF	3196642	10:00 - 11:00 MWF	501319 1167438 3094695 3102969
003277	TAYF	0675005	11:00 - 12:00 MWF	668952 1039831 1042335 1065238
010724	TAYF	1168490	13:00 - 14:00 MWF	700408 1002036 1094134
002151	PK338	3319913	9:00 - 10:00 MWF	753686 787159 865750 1077874 1080789 1082842 1160614 1171905 3070697 3073507 3085083 3086583 3088352 3088812 3091695 3098354 3098948 3100835 3107254 3107966 3110744 3113981 3127487 3127715 3129160 3134622 3157738 3160245 3185597 3186604 3188275 3192700 3192954 3196371 3196629 3198788 3200235 3202261 3211826 3212073 3217578 3218938 3220990 3221305 3221716
007099	PK229	0028980	12:00 - 13:00 MWF	827963 911775 920400 1013071 1020695 1024315 1056738 1064148 1080757 1084185 1158208 3070440 3091695 3105612
008479	PK243	0031619	19:00 - 21:30 T	827963 1053105 1079614 1098099 1144234 1150758 3076576
008500	PK229	0031619	13:30 - 16:00 TH	827963 906618 987937 991120 1000750 1053105 1073544 1079614 1084017
003572	DAL204	3092941	14:00 - 16:00 T	832653 1003389 1018174 1019212 1020478 1025379 1030693 1035148 1037541 1038303 1039868 1039943 1040868 1053370 1056012 1056320 1058180 1065196 1066335 1066778 1066924 1076437 1079444 1084334 1170860 3080937
002472	PK229	0493725	13:00 - 14:00 MWF	897931 950942 998351 1005315 1019025 1019827 1034578 1055640 1058058 1065945 1082905
002876	PK180	1084458	13:00 - 14:00 MWF	948568 1094520 1099662 1101350 1103391 3074551 3094719 3100678 3184862 3218962
002878	TAYF	0004955	12:00 - 13:00 MWF	897931 1028249 1037338 1049050
004735	PK180	0004955	9:00 - 10:00 MWF	897931 1017840 1037338 1089147 1099662 1111549 1166163 3090519 3099822 3104489 3106131 3196465 3198769
009233	EHLEC	0029475	12:00 - 14:00 TH	897931 1066007 1080792
005141	TH110	0493856	19:00 - 21:30 T	900525 1008967 1143265 1146782 1165573 3075371 3077033 3086583 3089892 3095009 3096693 3102969 3104587 3127208 3134217 3134461 3134622 3179084 3198211 3202006 3217362
008420	PK349	0031553	14:00 - 16:00 T	900525 1039679 1064035 1086489 3070017 3092969 3099704 3100927 3180674 3196629 3199006 3225012
001430	TAYD	0020093	13:00 - 15:30 TH	901262 1017412 1017840 1037338 1044157 1057779 1059572 1082919 1162008 1166163 3092580
005247	PK243	0493855	9:00 - 10:00 MWF	901262 906618 1021017 1039679 1041140 1056320 1142309
009304	TAYD	1020104	14:00 - 16:00 T	901262 992186 1005412 1010750 1054176 1057592 1066308 1076783
001165	PK338	0309967	10:00 - 11:00 MWF	904680 1000750 1004225 1009559 1011104 1013197 1020478 1030693 1037745 1056281 1067933 1068526 1077065 1077815 1079771 1095157 1095596 1115477 1126492 1129814 1140609 1150699 1160614 1163326 1163860 1169109 3064940 3064977 3068712 3070406 3082682 3090266 3091295 3092599 3092972 3094033 3094908 3095968 3097158 3097462 3098330 3102000 3104489 3174234
011044	EHLEC	3213249	13:00 - 14:00 MWF	904680 1020083 3186604
001213	DAL204	0031471	16:00 - 18:00 TH	905682 987937 988263 1011104 1018817 1025569 1055078 1057261 1077417 1077874 1078198 1080303 1081101 1087782 1088882 1092999 1101350 1103391 1115477 1129814 1134015 1170071 3072293 3082398 3082830 3085521
001838	PK338	0168763	11:00 - 12:00 MWF	905682 1020083 1056203 1056815 1065646 1067297 1080653 1082799 1087116 1088384 1100383 1105086 1116377 1149565 1161960 1164190 1169109 1169386 1170860 3074711 3074936 3075745 3075829 3079272 3080198 3086180 3086565 3087493 3092969 3095588 3099467 3099704 3099729 3103807 3105820 3106953 3107323 3107993 3160149 3160321 3199401 3199454 3201900 3224949
008447	PK25	0132890	12:00 - 13:00 MWF	905682 988620 992796 1019674 1042335 1049299 1050781 1053105 1056024 1065654 1067724 1067726 1077003 1092999 1133174 1144234 1150758 1160658 3074711 3075163 3075829 3089081 3095630 3097120 3102974 3199454
003515	PK229	0031477	16:00 - 18:00 TH	906447 1019212 1021017 1029566 1030693 1037291 1038303 1044561 1058180 1059654 1065238 1066924 1084363 1169331 3074936
007127	PK25	0162976	19:00 - 21:30 T	906447 911775 917040 920400 1001394 1013071 1018301 1019674 1020695 1024315 1025623 1027597 1030369 1040818 1044561 1056203 1056815 1064148 1066679 1067748 1067862 1068109 1076246 1077257 1077294 1077416 1078648 1080149 1083626 1084185 3073143 3105612
001862	PK349	0031557	13:30 - 16:00 TH	906963 988263 992796 1009559 1017492 1064605 1066309 1077413 1082907 1088558 1088785 1099059 1143639 1150699 1158007 1169962 1170303 3080595
002992	PK25	3195619	16:00 - 18:00 TH	906963 909942 1005082 1068549 1084187 1089147 1099178 1169382 3080592 3081669 3091695 3093221 3097890 3098883 3100786 3104658 3114024 3125605 3125668 3158316 3158773 3160149 3162076 3162611 3184641 3184743 3195980 3200015 3200739 3200866 3211369 3211821 3212471 3219051 3219056 3221546 3221716 3224484
004290	EHLEC	1168243	13:00 - 15:30 T	906963 1009559 1038671
006042	TH110	0409737	13:00 - 15:30 T	909942 1025644 1036027 1036225 1055348 1058223 1065796 1068526 1080653 1096470 1104216 1143290 1146370 3070406 3072594 3073666 3097341
006044	PK25	0207327	13:30 - 16:00 TH	909942 987600 1005082 1006438 1006444 1009729 1020520 1025629 1025644 1035148 1036225 1037541 1049929 1055348 1059469 1065183 1065796 1068526 1076989 1077161 1080653 1082842 1089147 1096470 1104216 1146370 1157047 3072477 3072594 3075188 3076211 3097607
003031	PK243	0375562	10:00 - 11:00 MWF	911775 987600 1058048 1078836
008801	PK180	3194197	10:00 - 11:00 MWF	916427 1005427 1065732 1076274 1076854 1088690 1112377 1169341 1170567 3073568 3074792 3075745 3133028
010962	TAYE	0915760	13:00 - 15:30 TH	916427 1018174 1020370 1040868 1056320 1065654 1066335 1080757 1129708 1149270
011195	TAYE	3212821	12:00 - 13:00 MWF	916427 1066982 1169341 3092985 3107963 3133434 3160321 3162926
004355	PK336	0847593	16:00 - 18:00 TH	917040 988990 1020727 1057779 3088352 3127715 3132900 3134350 3163273 3201354 3225118
005730	TH251	0031392	12:00 - 13:00 MWF	917040 1076854
007125	TH110	0162976	13:00 - 15:30 TH	917040 993790 1000750 1001394 1020695 1023923 1024315 1027597 1030369 1056963 1066679 1067862 1068109 1077257 1077294 1078819 1079614 1083626 3073143
001151	PK338	0309967	14:00 - 16:00 T	918549 1068549 1080808 1088120 1090933 1100129 1102354 1116854 1131189 1170757 3064940 3071094 3072063 3073138 3073146 3074289 3082398 3086015 3087394 3087465 3087983 3088421 3089341 3090066 3090785 3092236 3092580 3093369 3095050 3095588 3096592 3097953 3098747 3099165 3099989 3100155 3102105 3102278 3102316 3104653 3105818 3107589 3116805 3118334 3126626 3129544 3130894 3132705 3134180 3153098 3158421 3160321 3161051 3167586 3172803 3196371 3201250 3202261 3211569 3212786 3212902 3216872 3218938 3219871 3220365 3223998
001841	PK349	0814748	12:00 - 14:00 TH	918549 1003644 1025533 1029566 1049299 1055290 1064752 1065142 1077874 1083594 1085106 1088558 1088785 1099178 1150699 1170303 1171905 3071094 3072484 3080595
006508	PK243	0031478	11:00 - 12:00 MWF	918549 958492 1136830 3085836 3100897
004082	PK180	0854975	11:00 - 12:00 MWF	919772 1019006 1023923 1040818 1065183 1065271 1067726 1076923 1081939 1081952 1143639 1170479
010953	PK336	0058557	19:00 - 21:30 T	919772 991213 1006105 1039868 1079444 3074711 3087407 3102316
002564	CARP25	1168490	13:30 - 16:00 TH	948095 3070476 3094287
011035	PK349	3213250	16:00 - 18:00 TH	948095 1034405 1080789 1102030 1170567 3080595 3088812 3089636 3092236 3100824 3144208 3157738 3218962
011325	GOB	0554585	12:00 - 13:00 MWF	948095 1024283 1049929 1059469 1076989 1079771
003416	DAL204	0031477	10:00 - 11:00 MWF	948568 1005451 1019025 1019212 1067241 1076234 1080654 1081250 1085061 1101350 1104151 1122905 1149344 1162688 1163391 1165961 3074734 3079369 3088421 3092999 3094809 3097894 3100155 3103177 3116065
008763	PK338	0899465	19:00 - 21:30 T	948568 1029787 1041981 1064035 1067726 1076923 1081952 1101350 3075759 3079675 3087347 3087450 3089298 3090266 3095725 3097133 3098330 3099669 3100786 3102000 3102105 3103486 3105287 3106762 3108046 3116269 3118205 3125668 3129759 3133451 3134309 3134508 3160245 3161051 3162611 3170761 3185597 3189516 3198788 3201574 3205483 3211826 3212716 3212902 3217578 3218454 3218659 3219056 3224418 3224991 3225012 3225017
002464	PK336	3208421	9:00 - 10:00 MWF	950942 1019827 1034578 1055640 1056910 1059469 1065654 1149270 3070090 3073692 3074001 3080592
011045	CARP25	3213249	16:00 - 18:00 TH	952443 3105802 3105818
002856	PK338	0127086	13:00 - 15:30 T	958492 1066982 1077683 1079756 1087490 1157688 1161960 1163417 1164190 1170709 3070881 3072890 3073525 3074314 3074634 3074891 3074965 3076489 3077762 3081368 3086536 3087347 3087433 3087696 3088117 3088521 3088652 3088812 3088988 3089566 3090266 3090362 3090519 3090537 3091295 3091573 3091695 3092294 3093697 3094287 3095009 3095335 3095630 3095649 3095968 3096011 3097462 3097636 3097903 3098292 3098354 3099468 3099757 3099774 3100824 3100876 3102057 3102868 3102884 3104770 3105511 3105820 3106068 3106131 3106835 3224248
006036	TAYD	0031526	16:00 - 18:00 TH	958492 1006444 1020520 1024283 1025644 1049929 1081917 1104216 1157047
