Course	Room	Teacher	Time	Students
007125	TH110	0162976	13:00 - 15:30 T	362014 1012362 1019072 1070812 1081112 1097508 1123611 1141987 1163270 3065426 3065806 3067313 3068612 3073034 3077926 3094479
007127	PK25	0028980	13:30 - 16:00 TH	362014 1012362 1049392 1052099 1058853 1059804 1073179 1073428 1074737 1081112 1093453 1097508 1104323 1123611 1136139 1137568 1141766 1141987 1163270 1163883 3062862 3065426 3065806 3068612 3069318 3071694 3073483 3078066
011321	PK180	0028980	19:00 - 21:00 T	362014 1104323 1137568 1163883 3068911 3071694 3078066 3081073 3095290 3096229 3097933
011838	EHLEC	0031619	12:00 - 14:00 TH	1162892 3061460 3066114 3067056 3081988 3223468
002571	TAYG	0564741	11:00 - 12:00 MWF	692830 1163719 3068633 3069893 3086709 3097468
006863	CARP25	0402773	14:30 - 16:30 T	889130 1092551 1153307 3074091 3095021
008427	TH110	0125630	13:00 - 15:30 TH	892947 3078602 3081698 3091176 3178019 3219719 3264020 3308669 3316819 3330820 3332580
010954	TAYF	3401548	14:00 - 15:00 MWF	892947 3101907 3257376
001248	PK336	0031388	13:00 - 14:00 MWF	898104 903788 1058203 1070296 1070620 1072725 1073523 1079503 1080204 1084538 1085421 1087579 1093772 1095813 1107899 1122236 1126437 1130377 1153036 1162493 3064715 3077943 3100011
005263	PK180	0493855	9:00 - 10:00 MWF	898104 1032290 1089244 1118914 1133642 1136656 3069040 3079829 3081431
006044	PK336	0207327	14:00 - 16:00 T	901284 950914 1080806 1086556 1096920 1131814 1143387 1153554 1155813 1163719 3064630 3079774 3087527 3088264 3088390 3089763 3092532 3094802 3204306 3204893
001213	EHII	0031471	10:00 - 11:00 MWF	903788 1058203 1079503 1081304 1084538 1087579 1092958 1098264 1136139 1153036 1163179 3064485 3082033 3083207 3093246 3094738 3099745 3100011 3160008
001845	PK180	0123161	10:00 - 11:00 MWF	908849 1143121 3077943 3080546 3084494 3086240 3092091 3204830 3211081 3219428 3323692
002712	TAYG	0468281	13:00 - 14:00 MWF	908849 1058068 1071068 1161763 3064156
001166	EHII	0135660	14:00 - 16:00 T	910971 1057174 1060971 1071507 1122236 1162384 1163245 3065929 3069758 3070184 3083207 3093246 3095867 3100011 3122857 3123316 3126602 3135241 3188793 3209232 3217778
001862	BYC106	0031557	13:00 - 15:30 TH	910971 1057174 1161679 1162493 3065779 3084494 3087533 3097588 3104489
006559	EHI	0031478	11:00 - 12:00 MWF	910971 3071694
001183	BYC106	0406445	13:30 - 16:00 TH	940115 1122236 1138637 3065568 3088010 3091218 3093100 3094700 3096808 3126602 3160008 3212787
001473	TAYE	0031632	19:00 - 21:00 T	940115 1003163 1079349 1090632 1133031 1162390 1164777
004869	PK243	0053518	14:00 - 15:00 MWF	940115 1056297 1163424 3065289 3209936
004888	EHII	3092667	14:30 - 16:30 T	940115 1000374 1059105 1068953 1086904 1093047 1096573 1108799 1134151 1161791 1163424 3060775 3061759 3062413 3063437 3065289 3073014 3306653
006059	EHII	0619470	13:00 - 15:30 TH	950914 1047770 1058218 1073075 1080806 1088892 1096638 1135712 1138792 1143387 3064630 3069893
007396	EHII	0825571	14:00 - 15:00 MWF	979769 1058154 1071785 1115206 1139204 1161804 3065488 3065560 3078150 3080943 3082073 3087231 3093411 3097192
003572	PK338	0024092	13:00 - 14:00 MWF	981248 1010605 1029713 1032290 1049279 1052076 1059663 1073179 1073672 1076785 1079224 1081394 1083355 1084609 1085466 1085971 1087771 1088535 1092760 1114293 1115327 1119061 1122130 1135650 1142038 1150110 1150448 1161753 1161782 1162892 1163179 3060791 3061460 3061759 3064819 3064869 3064906 3067156 3070887 3090316 3100385
011833	TAYF	1084371	12:00 - 14:00 TH	981248 1059105 3081179
011943	CARP21	3393009	14:00 - 15:00 MWF	981248 1029713 1079224 1084609 1161753 1161763 3084075
008765	PK338	0428728	13:00 - 15:30 TH	994458 1093772 3068444 3069585 3079915 3081720 3094527 3095908 3097009 3100468 3105292 3105866 3122181 3126930 3153473 3181938 3188879 3191210 3204248 3205324 3209832 3211478 3215784 3215889 3216244 3217434 3217604 3217793 3218335 3221557 3232625 3262172 3275971 3312114 3315934 3316693 3329187 3329656 3330986 3332978
002695	TAYF	0138190	13:00 - 15:30 T	997873 3094422 3213968
010965	EHLEC	0897706	10:00 - 11:00 MWF	997873 1045484 1052076 1073179 1114293 1134634 3060791 3064906 3069455 3082688 3090316 3092012 3100385
004876	CARP21	0032827	9:00 - 10:00 MWF	1000374 1071986 1161791 3060775 3064156 3072620 3088433 3100388
004011	PK25	3335907	14:00 - 15:00 MWF	1000704 1045484 1135712 3082370 3086995 3090312 3092179 3121966 3149019 3177063 3210877 3215769 3260308 3261697 3280006 3282664 3284809 3297368 3302367 3303921 3305222 3315632 3315776 3316906 3329172 3329671 3330095 3330337 3330377 3330439 3330627 3331473 3331638 3332421
003037	PK243	0222805	12:00 - 14:00 TH	1001389 3069486 3071798 3077931
006042	PK25	0031454	12:00 - 14:00 TH	1075264 1086556 1109564 1131814 1149469 1150429 1153554 1155813 1162725 1163719 3061686 3067610 3072895 3079774 3079866 3079871 3081951 3085421 3085643 3087527 3088264 3089555 3090752 3091221 3092408 3092532 3092830 3094802 3095021 3096963 3097592 3100728 3204306 3216580
009266	CARP25	1083868	13:30 - 16:00 TH	1088236 1097091 1150630
010942	PK336	0619470	19:00 - 21:00 T	1001389 1058218 1073075 1075264 1086556 1092958 1143387 1149469 1153554 3061686 3064630 3065016 3065591 3066088 3069893 3079866 3079871 3085421 3088264 3089555 3090752 3096963
004013	PK25	0031578	14:30 - 16:30 T	1003163 1158585 3084494 3095391 3095417 3105219 3109227 3113753 3114139 3123316 3150160 3151640 3155060 3165225 3177388 3179110 3190778 3204511 3208714 3210074 3211007 3214129 3214704 3214899 3216914 3228861 3254879 3260419 3265154 3302457 3306482 3308669 3317266 3323644
011957	TAYF	1168460	13:00 - 15:30 TH	1003163 3089763
011992	CARP21	0694784	10:00 - 11:00 MWF	1003163 3082941 3093100 3093298 3095599 3096355 3153713
001851	PK243	0409956	13:00 - 15:30 T	1009914 1074737 1076479 1151485 3095337 3097588
006029	PK338	0031454	13:00 - 15:30 T	3081951 3089580 3092411 3094263 3095908 3099423 3099745 3105866 3108691 3109227 3110627 3119909 3125856 3125873 3126433 3126731 3150160 3151640 3155346 3155695 3158474 3177165 3177873 3185620 3190685 3191834 3193288 3193776 3203991 3204495 3204644 3205324 3210876 3211360 3213727 3215784 3216898 3216906 3227175 3288377 3306482 3315957 3316614 3322141 3330431
