Course	Room	Teacher	Time	Students
007041	PK338	0162976	19:30 - 21:00 T	362014 1070812 1155839 3065806 3085612 3092244 3105219 3188879
007128	PK25	0028980	14:00 - 16:00 T	362014 1012362 1019072 1049392 1052099 1058853 1059804 1070812 1071318 1073179 1073428 1074737 1093453 1094952 1097508 1104323 1123611 1136139 1137568 1141766 1141987 1163270 1163883 3059978 3062862 3065426 3065806 3068612 3069318 3073483 3078066
002856	PK25	0406445	10:30 - 12:00 F	692830 1075130 1153904 1162443 1163242 3079872 3082370 3085126 3090312 3092604 3092781 3093184 3094700 3097009 3097592 3098317 3099423 3100468 3101907 3103203 3104870 3108814 3108886 3109227 3118027 3119630 3120137 3120610 3120788 3121782 3121966 3125450 3125873 3126433 3126772 3126883 3126930 3135241 3145694 3151195 3152667 3152743 3153306 3153473 3155348 3155695 3165225 3170878 3171506 3175457 3177063 3177165 3180697 3180821 3181938 3185376 3189715 3190685 3191428 3191823
007365	PK25	0701976	14:30 - 16:00 TTH	892947 1045484 3061917 3079915 3085846 3095417 3109335 3110898 3119048 3178019 3203791 3205138 3209832 3214899 3215635 3217434 3219719 3219786 3226387 3228778 3232225 3232322 3239030 3249531 3252374 3256812 3260308 3264020 3283446 3293645 3299552 3314945 3315776 3322107 3323644 3329671 3330926 3332421 3332425
012107	TAYF	0031619	14:00 - 16:00 TH	892947 1012362 1136656 3065488 3095396 3101150
001249	PK25	0031388	13:30 - 16:00 W	898104 1058203 1070296 1070620 1072725 1073523 1079503 1080204 1084538 1085421 1087579 1093772 1095813 1107899 1122236 1126437 1130377 1153036 1162493 3064715 3077943 3100011
005247	TAYF	3310303	16:45 - 18:05 M	898104 1032290 1058154 1155748 3077505 3122857
005263	PK25	3090017	16:00 - 17:30 MW	898104 1057174 1069487 1085971 1112411 1162423 1162792 1163883 3057399 3063735 3066992 3067793 3069585 3073483 3080142 3089115 3155201 3209784 3216013 3322663
006049	PK25	0207327	12:00 - 16:00 MF	901284 950914 1047770 1073075 1143387 3064630 3066088 3088390
001195	PK338	0031471	13:00 - 16:00 W	903788 1049144 1070620 1078869 1163179 3069758 3079872 3123316 3209294 3217408 3232625
001750	PK338	0416447	12:00 - 14:00 T	903788 1119061 1150429 3081927 3094263 3122181 3175457 3211643 3217540 3329757
002657	TAYF	0138190	16:00 - 17:30 MW	908849 1161763 3205138 3214129 3221081 3303921
001842	PK25	0031557	10:00 - 11:30 TTH	910971 1057570 1074737 1075264 1077528 1080382 1080980 1081304 1082986 1085466 1087351 1088236 1096638 1143180 1155110 1161679 1161804 1162384 3057362 3077935 3079866 3082073 3083995 3084075 3084853 3087231 3088047 3091218 3091870 3092333 3092830 3098224 3098983 3120137 3211396 3212293 3213217 3213402 3215666 3307517
001893	TAYF	0898918	12:00 - 14:00 TH	910971 1009914 1057174 1060971 1076479 1091481 1143121 1150429 1163245
006546	TAYF	0031478	13:00 - 14:30 MW	910971 3067133 3083995 3099375 3152571
001474	TAYF	0853792	19:30 - 21:00 T	940115 1003163 1079349 1090632 1133031 1162390 1164777
004856	TAYF	0053518	14:00 - 16:00 W	940115 1068953 1154430 3065289 3068911 3073014 3093100 3095306 3211335
004889	PK25	3194193	10:00 - 12:00 M	940115 1000374 1056297 1059105 1086904 1096573 1108799 1131900 1134151 3060775 3061759 3062413 3063437 3065289 3073014
012034	PK25	0408816	13:00 - 15:00 TH	940115 1060971 1087579 1098264 1107899 1109686 1122236 1133031 1153036 1162390 3065560 3065568 3077931 3088010 3098317 3126602 3153713 3188793 3209294 3211360 3215601 3216914 3248182 3311445 3322149
005282	TH110	0493856	14:00 - 16:00 W	994458 1133642 1141692 3105382 3190633
008766	PK25	0428728	12:00 - 14:00 TH	994458 1073523 1093772 1095145 3068181 3068444 3069585 3081720 3089555 3090752 3092091 3092411 3092830 3094527 3095908 3098243 3100468 3104489 3105292 3105866 3110627 3122181 3125873 3126731 3126930 3152667 3153473 3163183 3181938 3188879 3191210 3197905 3204248 3205324 3209832 3210000 3211081 3211478 3215784 3216244 3217413 3217434 3217604 3217793 3218335 3219639 3220304 3221557 3221785 3231914 3232225 3250907 3275971 3276024 3311410 3312114 3315676 3315934 3316693 3329187
006524	PK338	3194739	10:00 - 12:00 W	997873 1129252 3068878 3079829 3085846 3088071 3096248 3178019 3191340 3299552
006588	TAYF	0777265	14:00 - 16:00 T	1000374 1068660 1125596 1129252 3063437 3071694 3103193 3215241
011313	PK25	0672202	19:00 - 21:30 T	1000374 1084538 1153080 3062860 3064485 3064869 3065289 3093100 3095306 3095417 3103193 3114776 3152434 3152571 3210877 3217444 3296990 3308669 3311808 3312285
004012	PK25	0854975	14:00 - 16:00 TH	1000704 1045484 1135712 1163242 3086995 3090312 3092179 3121966 3166656 3177063 3210877 3214617 3239030 3249531 3254195 3254237 3260308 3262890 3280006 3282664 3284809 3297368 3302367 3303921 3305222 3315632 3315776 3316906 3323189 3329671 3330095 3330337 3330377 3330439 3330627 3331473 3332421
003029	PK338	0492580	12:00 - 14:00 TH	1001389 1058218 1087351 1088236 1131814 1163125 3064899 3065016 3065426 3065591 3069894 3072895 3077935 3079866 3089384 3214138
001444	PK338	0853792	13:00 - 15:30 T	1003163 3078437 3082370 3082488 3095599 3104777 3123316 3125322 3127044 3155060 3219029 3322108 3329836 3330926
004016	PK338	3335907	13:00 - 15:00 TH	1003163 3113753 3121782 3150160 3151640 3177388 3265154 3302457 3310852
003434	PK25	0031477	19:00 - 22:00 M	1010605 1059663 1093772 1158383 3064715 3081410 3092012 3092411 3092577 3097521 3110898 3114139 3125450 3155348 3175356 3179026 3190134 3212784 3214899 3217372 3220189 3254879 3260419 3283446 3306653 3311550 3314971 3330095
001840	PK25	0168763	13:00 - 15:30 T	1012362 1070296 1090070 1090632 1096638 1125596 1149928 1153036 1155700 1161791 1162725 1163125 3064906 3067358 3068181 3077943 3078987 3080546 3081234 3081400 3082314 3087533 3089555 3091870 3095337 3097075 3097192 3106403 3121582 3152572 3178019 3190134 3194683 3210000 3216670 3217346 3217372 3217444 3236537 3308695 3315613 3323189 3323692
001774	PK338	0027799	13:00 - 14:00 T	1017457 1070105 1135650 1150110 1154715 1157995 3076209 3087141 3089884 3214129
003454	PK25	0897706	13:00 - 15:30 M	1017457 1045484 1095145 1156612 1162443 3079120 3081410 3081503 3081927 3082688 3088052 3096248 3101150 3104014 3121199 3125450 3126883 3145695 3149019 3152434 3165225 3175356 3177284 3194873 3194888 3212784 3254879 3306653
004010	PK25	0163316	13:00 - 15:30 W	1017457 1137568 1162989 3081179 3091892 3155033 3161390 3169644 3170878 3210020 3212293 3212787 3214147 3231837 3292462 3297051 3299552 3304324 3314971 3323454 3330334 3330372 3332409 3333094 3333459
004810	TAYF	1051497	13:00 - 16:00 M	3122857 3204511 3215889 3217408 3231826 3304008
003003	PK25	3332662	12:00 - 13:00 MWF	1019072 1058218 3065426 3100402 3105292 3155033 3177063 3181938 3193161 3194322 3204893 3211473 3217413 3217439 3217667 3220537 3316693 3316819
011319	TH110	3393919	10:00 - 11:00 MWF	1019072 3084782 3087533 3097521
005157	PK25	3401548	14:30 - 16:00 T	1029713 1095813 3063119 3071791 3081431 3084075 3084353 3101907 3197905 3204688 3209463 3211155 3211360 3216013 3217604 3219029 3256706 3258543 3260419 3306835 3330627
005290	TAYF	3401548	12:00 - 13:00 MWF	1029713 1092084 3095599 3188887 3211393
004379	TAYF	0989327	11:30 - 13:00 TTH	1032290 1068656 3082688 3177873 3190685 3213968 3306835
010851	PK338	3392923	10:00 - 11:00 MWF	1047770 1080806 1143387 1160418 3062828 3079774 3081951 3088433 3114251 3125856 3191834 3193776
006518	PK25	0777265	14:00 - 16:30 TH	1048446 1131814 3062439 3069758 3071694 3079829 3079915 3085643 3086995 3087117 3094700 3096963 3098490 3121199 3193987 3213909 3304005 3329964 3330337
006557	TAYF	0031573	9:00 - 10:00 MWF	1048446 1088018 1161531 3083207 3085302 3098490 3215241
008810	TAYF	0576472	12:00 - 14:00 T	1048446 1080360 1138637 3070830 3095867 3217415
011189	PK25	3195964	13:30 - 16:00 TH	1048446 1093453 1094952 1123611 1136139 3070922 3081073 3085391 3085846 3087809 3088147 3093050 3094575 3100415 3110756 3217785 3220537 3261685 3322107 3322187
003034	TH110	0222805	14:00 - 15:30 F	1049144 3077931
003406	TH110	0897399	11:30 - 13:00 TTH	1049144 3065312 3304197 3331618 3332421
011844	PK338	0031471	19:00 - 21:30 T	1092958 1094452 1122236 1136656 1150784 1163179 3069758 3083207 3094738 3105382 3265154
002362	TAYF	1165566	13:00 - 16:00 W	1049332 3165880 3204243 3213921 3268686 3315767 3319376
002460	PK180	0031568	13:00 - 15:30 TH	1049332
009232	TH110	3208421	9:00 - 10:00 MWF	1049332 3084853 3204243 3211396
002638	TH110	0827051	19:00 - 21:30 T	1051315 1135687 3070231 3098240
002564	TH110	3398516	13:00 - 16:00 TH	1051891 3114701 3215635
006043	PK25	0554585	11:00 - 12:00 MWF	1075264 1080806 1086556 1092958 1109564 1149469 1153554 1155813 1160136 1163719 3061686 3064899 3067610 3072895 3079774 3079866 3079871 3081951 3085643 3087527 3089384 3089555 3092532 3092830 3094802 3096963 3204306
006058	TH110	0431634	14:00 - 16:00 M	1051891 1086556 3087527 3089763 3091221
010956	PK25	0024663	19:00 - 22:00 T	1051994 1079349 1095145 3078958 3080405 3081763 3082314 3085002 3087328 3091218 3093298 3094700 3106446 3120788 3153713 3155060 3190802 3193672 3217604 3322108 3323644 3332761
002675	PK338	0468281	19:00 - 21:00 W	1052076 1071068 1134151 3080774 3098276 3190778 3194428 3209872 3248326 3268127 3295766
007080	TAYF	0031573	19:00 - 21:00 W	1052099 1081112 3090316 3094575 3097080
004807	PK338	3092667	14:00 - 16:00 W	1056297 1115327 3096229 3111037 3114872 3211593 3214178 3219719 3232225 3248478 3280006 3306761 3309285 3315789
