Course	Room	Teacher	Time	Students
003442	PK20	3818982	13:30 - 16:30 T	3375410 3462293 3466014 3559476 3651033 3465181 3483036 3485774 3691983 3692761 3576230 3667385 3559612 3486050 3690346 3560487 3630915 3650228 3692380 3419024 3576419 3797643
002367	PK20	0493725	13:00 - 16:00 F	3397840 3575259 3639772 3693280 3694481 3574519 3575071 3595071 3498974 3606293 3598090 3533093 3692380 3589576 3674492 3768025 3793612 3818675 3819628 3821006 3821048 3816203 3821116 3483977 3821180 3666161 3668849 3668895 3797692 3797744 3797829 3797856 3797859 3910645 3910724
002394	PK338	0020988	15:45 - 17:45 TH	3397840 3577741 3512896 3668623 3533093 3576792 3560193 3691514 3458087 3581913 3576566 3668827 3668895
002412	PK338	0031373	14:00 - 16:00 T	3576753 3476908 3464327 3476864 3486838 3631042 3691514 3483003 3668911
001767	PK338	3474008	14:30 - 16:30 MW	3414205 3478964 3568950 3483036 3576230 3689402 3474789 3486571 3560199 3576550 3576565 3797696
003572	PK20	0897399	14:00 - 16:00 W	3443522 3443731 3446645 3447306 3464666 3465591 3467427 3481102 3481354 3481520 3483278 3484619 3484845 3487040 3539996 3440687 3476418 3479804 3485642 3486382 3478102 3477014 3460586 3481702 3438999 3484202 3486050 3477004
001839	PK20	0898918	8:15 - 9:45 TTH	3426943 3462817 3463768 3470393 3474620 3481813 3487266 3505157 3521461 3561074 3576260 3580261 3581605 3650578 3480999 3481203 3485550 3486782 3581920 3516634 3470846 3482739 3543742 3581232 3581081 3650277 3457988 3480732 3483467 3457873 3477425 3485169 3557244 3472549 3576475 3576522
001845	PK20	0123161	13:00 - 17:00 TH	3426943 3496673 3501476 3577167 3580261 3638301 3694428 3487090 3559963 3477014 3466364 3580326 3478419 3689375 3768458 3823130 3591211 3472549 3481862 3576510 3668782
002153	PK338	3897776	13:00 - 16:00 W	3426943 3638301 3694428 3574519 3666801 3690204 3712888 3820774
008769	PK20	3554385	11:00 - 12:00 MWF	3516442 3540714 3689893 3631215 3690800 3691983 3575071 3692514 3620017 3690020 3692915 3694813 3651816 3666207 3693276 3695542 3559464 3663306 3694289 3581851 3689919 3695345 3695543 3816483 3818024 3480734 3689329 3694828 3581265 3768686
006587	PK180	0031399	14:00 - 16:00 TH	3430697 3476899 3482198 3650636 3461517 3486844 3480810 3483996 3485053
008774	PK338	0576472	19:00 - 21:00 T	3430697 3575259 3559319 3581962 3618222 3537536 3668386 3665300 3674492 3709927 3715174 3768972 3790244 3820397 3820961 3797745 3797862
002472	PK20	1051497	19:00 - 21:00 TH	3433962 3469119 3475298 3479355 3481875 3485054 3483925 3476908 3479085 3486141 3464398 3484750 3486844 3559804 3650956 3478050 3477580 3487093 3465588 3480166 3486838 3487276 3485816 3576325 3576364 3576370 3576390 3576429 3576558
005310	PK338	1020104	15:45 - 17:45 T	3437011 3447322 3465050 3482989 3486782 3478309 3465244 3486623 3457873 3486609 3576303 3576324
004036	PK180	3646540	13:00 - 15:30 T	3438294 3692440 3485290 3485549 3651750 3669030 3797880
