Course	Room	Teacher	Time	Students
007888	PK20	0470839	9:00 - 10:00 M-F	171491 3462246
005271	PK278	1137952	9:00 - 10:30 TTH	496921 3350298 3389574 3458451 3463126 3482588
003406	PK278	3320456	12:00 - 13:00 MWF	750570 3334029 3416998 3430527 3441310 3463022 3464638 3469615 3476930 3477576 3478050 3479718 3483084 3483546 3483567 3483651 3484314 3484750 3484752 3484763 3485727 3485800 3486133 3486182 3486311 3486475 3487316 3487321 3487429
011298	PK278	0058557	13:00 - 15:30 T	825970 3414205 3429732 3431672 3433686 3442641 3446645 3460820 3461826 3462293 3463526 3463589 3466014 3482198 3484243 3486844 3487621
008764	PK278	0428728	11:00 - 12:00 MWF	1086489 3429810 3441004 3448314 3450546 3451168 3455227 3458136 3458957 3460338 3460737 3461197 3462416 3462639 3464638 3465036 3465050 3466962 3475745 3478050 3479085 3479718 3479885 3480069 3481557 3481875 3481967 3483003 3483546 3485228 3486311 3487276 3487640
007397	PK278	3474098	13:00 - 15:30 MW	3093424 3352269 3363735 3396377 3405248 3411158 3411254 3420434 3429894 3433788 3433881 3438443 3439283 3439564
008423	DAL300	0132890	13:00 - 15:00 M	3093424 3344151 3372100 3377851 3419002 3426638 3439588 3455294 3457979 3459647 3478309 3481557
012107	PK278	0031619	10:00 - 11:00 MWF	3093424 3337246 3411186 3420837 3439588 3456290 3461057 3462115 3462414
013999	PK20	3461401	19:00 - 20:30 TH	3094516 3340797 3398070 3411018
005217	PK278	0493856	8:30 - 10:30 TTH	3103190 3219927 3340287 3404534 3415217 3437365 3439511 3440024 3460073 3463919 3477580 3482989
005310	DAL300	1020104	19:00 - 21:00 T	3103190 3251781 3252368 3342762 3344218 3350298 3350812 3355412 3362442 3367107 3395624 3397992 3402266 3412381 3413574 3417314 3437701 3462936
007028	PK278	0316015	13:00 - 16:00 TTH	3236337 3456645 3459972 3460235 3461937 3468504 3480166 3480734 3487093
006872	DAL300	0031347	12:00 - 13:00 MWF	3198918 3411108 3425755 3430978 3432344
004048	PK100	0031578	11:00 - 12:00 M-F	3212483 3331186 3337246 3339029 3343167 3397442 3406042 3406073 3417359 3431672 3483929
006043	PK278	0409737	10:00 - 11:30 W	3212483 3331071 3364991 3404179 3413193 3431080 3436260 3436311 3437778 3439437 3439670 3441004 3463587
006060	PK100	0431634	13:00 - 14:30 TTH	3212483 3281059 3334029 3369591 3412100 3415827 3416354
007043	PK100	3481299	8:00 - 9:00 M-F	3217041 3227014 3248623 3331179 3343167 3374470 3396208 3414298 3417000 3419002 3426244 3432027 3453218 3453467 3454115 3460369 3479945 3484334
005247	PK100	3555101	13:00 - 14:30 MW	3219927 3416424 3417001 3421604 3459109 3462936
009304	PK278	0493856	18:30 - 21:00 T	3219927 3416424 3429810 3437365 3440024 3460766 3462554
013642	DAL300	3195964	9:30 - 12:00 MW	3219927 3352040 3358228 3379786 3397066 3404364 3405604 3409210 3413441 3417097 3417338 3422964 3426638 3432798 3437962 3437978 3438342 3455294 3459645 3462262 3478747 3480423 3481562 3484334 3485970 3486050
004888	DAL300	0031373	11:30 - 13:00 MW	3221756 3319863 3344264 3352904 3364124 3401311 3402556 3404243 3404642 3405744 3406042 3413022 3415627 3417097 3418058
012286	PK20	1165592	10:00 - 11:00 M	3223454 3372272 3424318
004306	PK100	3447501	14:00 - 16:00 W	3223467 3330300
012304	PK100	0031572	13:00 - 16:00 T	3226945 3343167 3396312 3404204 3411254 3416998 3417003 3417088 3438455 3438550 3440958 3486609
012726	PK20	0416447	12:00 - 14:00 M	3226945 3366138 3451664
013920	PK100	0897399	13:00 - 15:00 M	3226945 3416750 3458441 3458934 3459032 3481520 3576571
001195	DAL300	0031471	13:00 - 16:00 M	3227014 3338762 3358960 3380465 3398117 3413283 3414811 3415615 3417000 3417073 3418907 3420837 3432223 3455291 3457917 3457979 3461498
002874	DAL300	0031582	10:00 - 11:30 MW	3227014 3416375 3420884 3426858 3438287 3454439 3455148 3468281 3485361 3576509
001455	PK20	0020093	13:00 - 14:00 TH	3227669 3442188
013638	DAL300	1168489	9:00 - 10:00 M-F	3227669 3241275 3314570 3340838 3381424 3396036 3406406 3417273 3421604 3430196 3438465
001165	PK278	3557246	12:00 - 14:00 T	3231046 3337246 3340287 3340324 3404828 3430383 3453445 3456677 3459645 3460488 3461498 3462417 3463993 3475198 3483965 3485912
006504	PK278	3554648	10:00 - 12:00 TTH	3231046 3375120 3377851 3411108 3412874 3417336 3418094 3421153 3430697 3433945 3439636 3443731 3445738 3459508 3462116 3480810 3482198 3485053 3485290 3486133 3486623 3486844 3576342 3576425 3576569
006518	DAL300	0031399	12:00 - 14:00 M	3231046 3352904 3415125 3417338 3418094 3425239 3427633 3430697 3430953 3431060 3435628 3439409 3454115 3461517 3463524
006588	DAL300	0031478	10:00 - 11:00 MWF	3231046 3340533 3352904 3372100 3384120 3406295 3417359 3418094
006049	PK278	0031454	19:00 - 21:30 W	3236337 3341634 3359188 3404179 3413193 3413598 3413923 3414201 3414467 3416354 3430383 3430978 3431080 3432259 3433829 3436260 3439437 3439670
013919	DAL300	0897399	18:00 - 20:30 M	3236337 3337037 3397598 3443207 3451557 3455043 3460766 3475327 3475445 3478713 3480150 3484202 3484845
001768	PK100	3474420	14:30 - 16:00 TTH	3241275 3342984 3352040 3374569 3381424 3414467 3437701 3437781 3439364 3457979 3459584 3475445 3481354
008770	PK278	3554385	13:00 - 14:30 MW	3241275 3417108 3429199 3447681 3451553 3451663 3452529 3455093 3456290 3456820 3457777 3458176 3462270 3462554 3462849 3463602 3467427 3467983 3474620 3475933 3478691 3480067 3480732 3481203 3481221 3481354 3481518 3483385 3484887 3485169 3487621
002395	PK278	1051497	13:30 - 16:00 W	3248623 3375629 3405427 3412549 3412835 3417075 3420380 3436683 3438878 3455227 3458452 3463883 3576500
001166	PK278	0135660	12:00 - 13:30 TTH	3249454 3331686 3337246 3337334 3340287 3358345 3380697 3397066 3405144 3405153 3416536 3419470 3430944 3431294 3432040 3438472 3443283 3448687 3455058 3461933 3462416 3462849
001187	PK100	0031388	19:00 - 21:00 T	3249454 3255465 3413283 3417073 3418606 3429532 3431740 3435187 3457231
001249	PK278	0031471	10:00 - 11:00 M	3249454 3340838 3341874 3351574 3351809 3354445 3358345 3364639 3380465 3393147 3396313 3396422 3396892 3397066 3405153 3412523 3413255 3414811 3415217 3417073 3417355 3440606
001170	PK100	3556528	9:00 - 10:00 M-F	3249725 3319386 3414068 3415217 3416073 3418117 3422414 3431535 3439588 3439912 3458533 3462240 3464100 3484361 3487261
001763	PK20	3573269	9:00 - 10:30 TTH	3249725 3412881 3426718 3431740 3437827 3438999 3463327 3471745 3479838 3480937 3483996 3576565
013921	PK100	3483424	12:00 - 14:00 M	3250227 3352269 3436119
001474	PK100	0853792	10:00 - 11:00 MWF	3250074 3250084 3250395 3251757 3255465 3344941 3358339 3366745 3397586 3417553
010933	PK100	0031632	18:00 - 20:30 M	3250084 3358339 3374194 3425095 3425356
001840	PK278	0168763	11:00 - 13:20 T	3250227 3319602 3329409 3339567 3404976 3411159 3414843 3415849 3434130 3435384 3435771 3438113 3438442 3443421 3455915 3458295 3460820 3460867 3462297 3462514 3463602 3463776 3463993 3464379 3471745 3479976 3484216 3485548 3576404
001857	PK100	0123161	13:00 - 15:30 T	3250227 3360165 3397265 3436119
011299	PK278	0058557	13:30 - 16:30 T	3250227 3319386 3340316 3412523 3432595 3435161 3435922 3455915 3481690
007370	PK278	0826964	16:00 - 17:30 MW	3250244 3337781 3339814 3343615 3362442 3395299 3398117 3416997 3417003 3418106 3418120 3418907 3426020 3426638 3430142 3430196 3437756
011987	PK100	0004955	18:30 - 21:00 T	3250395 3455148 3461020 3481075 3483965
013201	PK338	0020093	11:00 - 12:00 MWF	3250395 3374194 3462955
003439	PK278	1165592	14:00 - 15:00 MWF	3250498 3369702 3374040 3413283 3414205 3416374 3417284 3418264 3423839 3425114 3432759 3440687 3442335 3450069 3455519 3477004 3484887
003489	PK100	3318436	13:00 - 14:00 W	3250498 3358378 3427633 3447306 3449263 3451551 3457393 3459584 3467452 3474620
005743	PK338	3392421	13:00 - 14:30 MW	3250803 3402721 3413774 3420037 3432595
013640	PK100	0893542	14:00 - 16:00 TH	3250803 3390220 3418117 3435628 3438442
005291	DAL300	3555100	14:30 - 16:00 MW	3251757 3350812 3413574 3426556 3428844 3429524 3438471 3441838
006852	DAL300	0031347	13:00 - 15:30 T	3354500 3364124 3366307 3389674 3431155 3431226 3431939 3432782 3434781 3436227 3439912 3455297 3457808 3458641 3459508 3462554 3462936 3463453 3483965 3576328 3576329 3576352 3576360 3576405 3576425 3576569
013774	PK100	0058557	11:00 - 13:20 T	3251757 3359188 3374470 3404204 3406196 3413923 3417097 3418145 3435397 3438472 3446645 3456313 3457393 3457935 3486050
003278	PK20	0675005	13:30 - 16:00 W	3251781 3329449
002876	PK278	1084458	18:00 - 20:00 W	3252368 3416375 3436710 3438287 3443522 3446353 3455341 3461020 3463560 3464666 3466014 3468281 3476418 3480937 3484898 3486740 3576374
005180	DAL300	3461286	12:00 - 14:00 W	3252368 3415801 3430953 3431303 3433881 3437756 3443522 3447322 3462955 3465591 3479054 3484202 3484216 3485727 3486321 3486740
002868	DAL300	0004955	14:00 - 16:00 TH	3254408 3384120 3404642 3412523 3413574 3415827 3420884 3425347 3438287 3464855 3464954 3467781 3480382 3483327 3576498
005853	DAL300	3470325	9:00 - 10:00 MWF	3254408 3436206 3458533 3461020 3463453
013645	PK100	0493725	12:00 - 14:00 T	3254408 3334029 3381424 3438442 3454182 3456994 3458932
004815	DAL300	3092667	10:00 - 11:30 W	3254734 3339814 3412381 3412866 3413255 3436206 3436514 3437589 3457327 3457777 3459508 3464848 3465036 3467932 3478713 3480150 3480382 3484334 3484845 3485970
005161	PK100	0031582	19:00 - 22:00 M	3254734 3457932 3486852
013839	DAL300	3447549	8:30 - 10:00 TTH	3254734 3422964 3459730 3475745 3478297 3478747 3479976 3482263 3487321
009386	PK100	0031388	13:00 - 16:00 M	3255465 3344151 3416375 3418606 3421770 3459980 3466011 3485028
013922	PK100	3557246	19:00 - 21:30 W	3255465 3374194 3404828 3576313
002390	DAL300	0316015	18:00 - 20:30 T	3274299 3416232 3454100 3463879 3469119 3479355 3487266
007113	PK100	0316015	19:00 - 20:30 TH	3274299 3340683 3372100 3405604 3405829 3414124 3415175 3415489 3419570 3436588 3437089 3438550 3440024
002562	PK278	0564741	15:30 - 17:00 T	3281059 3337390 3429199 3429706 3431060 3431080 3447478 3451331 3451553 3453663 3454210 3463708 3464263 3464855 3465244 3465591 3476899 3477004 3478102 3478691 3478713 3481520 3482445 3483557 3485327 3485416 3485636 3485803 3485812 3486632 3486858 3576364 3576512
006045	PK278	0431634	12:00 - 14:00 W	3281059 3411108 3412100 3412644 3413923 3425150 3425755 3429761 3433849 3441004 3441900 3456066 3459897 3460701
011535	PK100	3213249	14:00 - 17:00 T	3281059 3430944 3434468 3475573 3487505
002713	PK338	1167978	10:00 - 11:00 M-F	3311775 3340558 3412874 3418216
003270	DAL300	0695890	14:00 - 16:00 T	3312777 3431226 3431257 3441310 3455220 3455519 3459111 3462228 3462872 3464985 3476930 3482989 3483560 3486311 3576305 3576323
003541	PK278	0599596	13:00 - 14:00 TH	3312777 3316620 3331071 3375685 3404976 3406406 3416073 3416997 3417002 3418145 3418499 3421604 3426654 3429832 3432622 3438465 3443092
009270	DAL300	3554810	19:00 - 22:00 M	3312777 3340716 3342814 3375685 3424363 3435397 3443092 3443207 3447306 3458441 3460586 3462293 3467932 3480166 3481562 3481643 3485537 3486623
005263	PK278	0029475	13:00 - 14:00 W	3314570 3316620 3330264 3339814 3342814 3369702 3397807 3415801 3416286 3425114 3425219 3426658 3429524 3429706 3438471
011305	PK100	0077135	12:00 - 14:00 W	3315530 3353145 3358768 3363977 3412725 3416073 3416374 3417284 3429832 3434210 3436212 3449263 3460586
002569	PK100	3393847	16:00 - 17:30 MW	3319602 3379786 3443453 3455562 3462512
013775	DAL300	0058557	19:00 - 20:30 TH	3319602 3395299 3396313 3411646 3433760 3440409 3443453 3462262 3484243 3486834
005258	PK278	3461286	14:00 - 17:00 T	3319863 3352660 3421770 3432759 3435734 3437756 3439511 3452561 3452988 3454100
013287	DAL300	3474664	13:00 - 16:00 TH	3319863 3338175 3339315 3393147 3401311 3405393 3411158 3415175 3416286 3416374 3418145 3425114 3425219 3425356 3425401 3431750 3438842 3454100 3455908
001182	PK338	0493725	11:30 - 13:00 MW	3322886 3462851
013641	PK20	0893542	13:00 - 16:00 TTH	3329409 3483155
005198	PK100	0853792	10:00 - 13:00 T	3330264 3429810 3438455 3486632 3559218
001550	DAL300	0031756	13:30 - 16:00 W	3330300 3338175 3340316 3397856 3404341 3411531 3411546 3412644 3420434 3424363 3437534 3440454 3454497 3459635 3463022 3463226 3464272 3479712 3483557 3486250 3486632 3486998
002153	PK278	3415849	10:00 - 11:00 M-F	3330300 3375323 3405451 3417108 3421500 3428042 3428608 3436216 3436311 3436588 3437240 3438232 3438254 3440419 3441177 3445738 3448679 3451168 3453445 3455625 3455690 3455908 3456089 3457873 3458176 3458972 3459523 3460235 3460338 3460488 3461826 3462647 3462817 3462896 3462964 3463071 3464327 3465103 3466364 3474620 3475198 3476797 3477824 3480375 3480668 3481203 3481805 3481875 3481943 3482739 3484887 3485169 3485912 3486379 3486782 3487087 3576572
004282	PK278	1165566	11:30 - 13:00 TTH	3429532 3435692 3457231 3482144
004066	PK338	0854975	10:00 - 11:30 MW	3330355 3414238 3463353
007041	PK100	0162976	10:00 - 12:00 TTH	3330355 3337463 3353511 3396837 3399606 3412835 3426654 3430953 3434079 3437089 3437827 3438589 3453856
010851	DAL300	0621313	13:00 - 14:30 TTH	3358756 3404179 3404534 3413598 3417055 3418079 3418106 3418908 3437511 3455043 3455046 3482019
013185	DAL300	0031619	13:00 - 14:00 W	3343387 3378849 3431155 3431939 3432782 3439387 3439475
006026	DAL300	3470402	8:00 - 9:00 M-F	3331180 3338762 3415615 3419570 3423839 3425578 3429732 3435183 3435248 3443522 3454494 3455151 3458441 3463189 3465245 3466011 3467093 3469615 3486596 3576303 3576310 3576360 3576378 3576407 3576479 3576504 3576525 3576535
006847	PK278	0402773	14:30 - 16:00 TTH	3331180 3375120 3375389 3375544 3389676 3396461 3397565 3404693 3411059 3416536 3417135 3419470 3421700 3430152 3430383 3430401 3431294 3431672 3432223 3432238 3433760 3435039 3435070 3435248 3439670 3441900 3456228 3463675 3463745 3463768 3464027 3487035 3576347
008782	PK100	0576472	12:00 - 14:00 F	3331186 3414201 3416998 3435161 3453218 3455297 3463587
002182	DAL300	0428815	16:00 - 17:30 MW	3331686 3363924 3411154 3411531 3413582 3414273 3414843 3415044 3415615 3415852 3417370 3433663 3435248 3440036
004803	DAL300	0031373	13:00 - 14:30 MW	3334029 3451551 3466962 3467093 3467384 3478951 3480166 3486852
011536	PK20	3213249	8:30 - 10:00 TTH	3337037 3433788
002396	PK20	0020988	14:00 - 16:20 T	3337390 3366138 3415827
008469	PK278	0125630	18:00 - 20:30 M	3337463 3381050 3411186 3419002 3439475 3439564 3456290 3461057 3462115 3462414
013996	DAL300	0125630	10:00 - 13:00 T	3337463 3350812 3381050 3405144 3412381 3431260 3439387 3439564
001843	PK278	0056992	13:00 - 14:30 TTH	3337781 3341079 3341874 3404693 3404828 3405145 3405451 3411059 3414273 3415849 3417359 3428042 3428608 3430697 3431445 3432223 3432238 3433760 3434130 3436588 3436930 3441900 3446832 3448687 3451331 3458972 3460235 3462297 3462514 3462817 3463071 3463188 3481607 3482264 3487055
004840	DAL300	3452082	19:30 - 21:00 T	3338175 3431750 3436514 3442991 3456103 3457327 3458339 3459823 3461556 3485970
001891	PK338	3459335	9:00 - 10:00 M-F	3338208 3388921
012821	PK100	3448653	14:00 - 16:00 M	3375629 3405145 3415125 3420380 3432796 3458122
012832	PK100	1157682	13:00 - 15:30 W	3338762 3358960 3415125 3418094 3431651 3456820
013613	PK278	0492580	14:00 - 16:00 T	3339029 3363735 3413774 3413923 3425150 3426719 3431629 3433849 3433945 3433961 3438102 3454226 3458250 3462242
002379	DAL300	3092832	11:00 - 13:20 T	3339315 3416891 3458339 3458452 3463126 3463525 3463879 3576325 3576352
011315	PK100	3213249	18:30 - 20:30 MW	3339315 3340324 3422289 3434468 3435161 3435187 3451496 3456066
013784	PK100	3448653	15:30 - 17:00 T	3355412 3416286
001770	PK100	3474420	10:00 - 11:30 TTH	3339567 3358228 3404364 3417042 3420037 3444491 3448868 3464193 3464263 3464279
