Course	Room	Teacher	Time	Students
005119	TAYD	0031560	14:00 - 16:00 T	32258 976318 1020370 1041559
002469	TAYD	0697660	10:00 - 11:00 MWF	32765 852945 914290 914299
001444	PK180	0031403	14:00 - 16:00 W	145931 780528 834343 876307 896036 909091 913880 917702 950504 999195 1005149 1006105 1007196
005724	PK25	0031392	19:00 - 21:00 T	145931 752553 825990 867801 904918 913115 914076 915648 950811 967411 973811 986262 987276 989520 991668 991672 1002248 1016996 1057004 1065238
001248	PK25	0031388	18:00 - 19:00 T	419327 768235 769943 770471 771438 780619 788562 809224 809463 812628 813277 818384 818599 827928 828596 829796 831966 833695 857087 915579
003001	TAYF	0375562	18:00 - 19:00 T	825616 899241 899419 907155 915543 1002729
003003	PK25	0031406	12:00 - 14:00 W	419327 828705 853174 854724 881793 890945 900240 903229 904301 913466 918074 918277 959092 967988 971315 976318 976421 986262 993268 1002729 1007799
005727	TAYD	0984701	11:30 - 13:00 TTH	419327 741632 920261 1077003
001749	TAYF	1064203	14:00 - 16:00 T	556027 959337 1005199 1013197 1050781 1054176 1064605 1170860
007375	PK25	0031631	13:00 - 16:00 TH	556027 742886 772032 787159 813147 826670 828394 848680 849245 858114 870197 887586 896476 900371 900541 901409 903338 906362 906635 912695 915226 1086329
008500	TAYF	0031619	11:00 - 12:00 MWF	559777 657857 772032 786698 825478 836904
003556	PK180	0599596	19:00 - 22:00 W	603589 670870 671451 746084 771438 772504 828017 831413 833941 850382 852994 873190
002951	PK229	0088906	10:00 - 11:00 MWF	634162 769020 801247 854032 855155
004065	PK243	0854975	14:00 - 16:00 W	634162 805926 809839 813159 827928 831703 852409 867494
